storm,date_time,quadrant,numobs,sid,season,number,basin,subbasin,name,source_usa,source_jma,source_cma,source_hko,source_kma,source_new,source_reu,source_bom,source_nad,source_wel,source_td5,source_td6,source_ds8,source_neu,source_mlc,time,iso_time,nature,lat,lon,wmo_wind,wmo_pres,wmo_agency,track_type,main_track_sid,dist2land,landfall,iflag,usa_agency,usa_atcf_id,usa_lat,usa_lon,usa_record,usa_status,usa_wind,usa_pres,usa_sshs,usa_r34,usa_r50,usa_r64,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_lat,tokyo_lon,tokyo_grade,tokyo_wind,tokyo_pres,tokyo_r50_dir,tokyo_r50_long,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_lat,cma_lon,cma_cat,cma_wind,cma_pres,hko_lat,hko_lon,hko_cat,hko_wind,hko_pres,kma_lat,kma_lon,kma_cat,kma_wind,kma_pres,kma_r50_dir,kma_r50_long,kma_r50_short,kma_r30_dir,kma_r30_long,kma_r30_short,newdelhi_lat,newdelhi_lon,newdelhi_grade,newdelhi_wind,newdelhi_pres,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_lat,reunion_lon,reunion_type,reunion_wind,reunion_pres,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34,reunion_r50,reunion_r64,bom_lat,bom_lon,bom_type,bom_wind,bom_pres,bom_tnum,bom_ci,bom_rmw,bom_r34,bom_r50,bom_r64,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pres_method,nadi_lat,nadi_lon,nadi_cat,nadi_wind,nadi_pres,wellington_lat,wellington_lon,wellington_wind,wellington_pres,ds824_lat,ds824_lon,ds824_stage,ds824_wind,ds824_pres,td9636_lat,td9636_lon,td9636_stage,td9636_wind,td9636_pres,td9635_lat,td9635_lon,td9635_wind,td9635_pres,td9635_roci,neumann_lat,neumann_lon,neumann_class,neumann_wind,neumann_pres,mlc_lat,mlc_lon,mlc_class,mlc_wind,mlc_pres,usa_gust,bom_gust,bom_gust_per,reunion_gust,reunion_gust_per,usa_seahgt,usa_searad,storm_speed,storm_dir,chosen_length1,chosen_length2,iso_time_str,datetime,year_month,unique_id,radii_ratio,precipitation_radius1,precipitation_radius2,precipitation_to_ibtracs_ratio
719,14,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-19 12:00:00.000039936,b'2024-06-19 12:00:00',b'TS',22.1,265.8000030517578,35.0,995.0,b'hurdat_atl',b'main',b'2024170N20267',324.0,292.0,b'O______________',b'hurdat_atl',b'AL012024',22.1,-94.2,b'',b'TS',35.0,995.0,0.0,400.0,,,1006.0,360.0,270.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,45.0,,,,,12.0,420.0,7.0,240.0,200.0,215.0,2024-06-19 12:00:00,2024-06-19 12:00:00,2024-06,ALBERTO_2024-06-19 12:00:00,1.075,400,430.0,2.0
719,15,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-19 15:00:00.000039936,b'2024-06-19 15:00:00',b'TS',21.9,265.5,,,b'',b'main',b'2024170N20267',291.0,259.0,b'P______________',b'',b'AL012024',21.9,-94.5,b'',b'TS',38.0,995.0,0.0,425.0,,,1006.0,360.0,240.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,12.0,420.0,6.0,240.0,212.5,215.0,2024-06-19 15:00:00,2024-06-19 15:00:00,2024-06,ALBERTO_2024-06-19 15:00:00,1.011764705882353,400,404.7058823529411,1.8823529411764703
719,16,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-19 18:00:00.000039936,b'2024-06-19 18:00:00',b'TS',21.8,265.1999969482422,40.0,995.0,b'hurdat_atl',b'main',b'2024170N20267',259.0,227.0,b'O______________',b'hurdat_atl',b'AL012024',21.8,-94.8,b'',b'TS',40.0,995.0,0.0,450.0,,,1006.0,360.0,210.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,45.0,,,,,12.0,420.0,7.0,235.0,225.0,215.0,2024-06-19 18:00:00,2024-06-19 18:00:00,2024-06,ALBERTO_2024-06-19 18:00:00,0.9555555555555556,400,382.22222222222223,1.7777777777777777
719,17,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-19 21:00:00.000039936,b'2024-06-19 21:00:00',b'TS',21.6,264.9000015258789,,,b'',b'main',b'2024170N20267',227.0,186.0,b'P______________',b'',b'AL012024',21.6,-95.1,b'',b'TS',43.0,994.0,0.0,450.0,,,1006.0,330.0,150.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,7.0,245.0,235.0,220.0,2024-06-19 21:00:00,2024-06-19 21:00:00,2024-06,ALBERTO_2024-06-19 21:00:00,0.9361702127659576,400,374.468085106383,1.702127659574468
719,18,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-20 00:00:00.000039936,b'2024-06-20 00:00:00',b'TS',21.5,264.5,45.0,992.0,b'hurdat_atl',b'main',b'2024170N20267',186.0,144.0,b'O______________',b'hurdat_atl',b'AL012024',21.5,-95.5,b'',b'TS',45.0,992.0,0.0,450.0,,,1006.0,300.0,90.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,55.0,,,,,,,8.0,275.0,245.0,225.0,2024-06-20 00:00:00,2024-06-20 00:00:00,2024-06,ALBERTO_2024-06-20 00:00:00,0.9183673469387756,400,367.34693877551024,1.6326530612244898
719,19,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-20 03:00:00.000039936,b'2024-06-20 03:00:00',b'TS',21.7,264.0,,,b'',b'main',b'2024170N20267',134.0,84.0,b'P______________',b'',b'AL012024',21.7,-96.0,b'',b'TS',45.0,993.0,0.0,415.0,,,1006.0,275.0,75.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,12.0,295.0,232.5,212.5,2024-06-20 03:00:00,2024-06-20 03:00:00,2024-06,ALBERTO_2024-06-20 03:00:00,0.913978494623656,400,365.59139784946234,1.7204301075268815
719,20,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-20 06:00:00.000039936,b'2024-06-20 06:00:00',b'TS',22.0,263.3000030517578,45.0,993.0,b'hurdat_atl',b'main',b'2024170N20267',76.0,10.0,b'O______________',b'hurdat_atl',b'AL012024',22.0,-96.7,b'',b'TS',45.0,993.0,0.0,380.0,,,1006.0,250.0,60.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,55.0,,,,,12.0,450.0,19.0,295.0,220.0,200.0,2024-06-20 06:00:00,2024-06-20 06:00:00,2024-06,ALBERTO_2024-06-20 06:00:00,0.9090909090909092,400,363.6363636363636,1.818181818181818
719,21,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'GM',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-20 09:00:00.000039936,b'2024-06-20 09:00:00',b'TS',22.4,262.1999969482422,45.0,994.0,b'hurdat_atl',b'main',b'2024170N20267',0.0,0.0,b'V______________',b'hurdat_atl',b'AL012024',22.4,-97.8,b'L',b'TS',45.0,994.0,0.0,310.0,,,1006.0,250.0,60.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,12.0,435.0,20.0,280.0,185.0,140.0,2024-06-20 09:00:00,2024-06-20 09:00:00,2024-06,ALBERTO_2024-06-20 09:00:00,0.7567567567567568,400,302.7027027027027,2.1621621621621623
719,22,0,23.0,b'2024170N20267',2024.0,26,b'NA',b'NA',b'ALBERTO',b'hurdat2-1851-2024-040425.txt:Line=56721:ALBERTO::bal012024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-20 12:00:00.000039936,b'2024-06-20 12:00:00',b'TS',22.4,261.1999969482422,35.0,998.0,b'hurdat_atl',b'main',b'2024170N20267',0.0,,b'O______________',b'hurdat_atl',b'AL012024',22.4,-98.8,b'',b'TS',35.0,998.0,0.0,180.0,,,1007.0,250.0,60.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,45.0,,,,,12.0,420.0,18.0,270.0,105.0,90.0,2024-06-20 12:00:00,2024-06-20 12:00:00,2024-06,ALBERTO_2024-06-20 12:00:00,0.8571428571428571,400,342.85714285714283,3.8095238095238098
720,4,0,109.0,b'2024181N09320',2024.0,27,b'NA',b'NA',b'BERYL',b'hurdat2-1851-2024-040425.txt:Line=56735:BERYL::bal022024.dat',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',2024-06-29 00:00:00.000039936,b'2024-06-29 00:00:00',b'TS',9.2,316.9000015258789,35.0,1006.0,b'hurdat_atl',b'main',b'2024181N09320',1059.0,972.0,b'O______________',b'hurdat_atl',b'AL022024',9.2,-43.1,b'',b'TS',35.0,1006.0,0.0,40.0,,,1012.0,150.0,40.0,,,,,,,,,,,,,,,,,,,,,b'',,,,,b'',,,,,,,,,,,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',,,,,,,,,,,,,,,b'',,,,,b'',,,45.0,,,,,,,20.0,280.0,20.0,20.0,2024-06-29 00:00:00,2024-06-29 00:00:00,2024-06,BERYL_2024-06-29 00:00:00,1.0,400,400.0,20.0
